281,Pivo Brat Dekan Oktoberfest 0.33 flasica
282,Pivo Profesor Doktor IPA 0.33 flasica
283,Pivo vrhunski magistar lager 0.33 flasica
284,Pivo Nikiscko tamno 0.33l npb
285,Pivo Niksicko tamno 0.5l limenka
286,Pivo Budweiser tamno 0.33l npb
287,Pivo Leffe tamno 0.33l
288,"Vino crveno Plantaze Vranac vrhunski 0,187L"
289,"Vino crveno Plantaze Medun 0,5L"
290,Vino Coka Ždrepčeva krv 1L
291,Vino crveno Plantaze Moje vino 1l
292,"Vino crveno Plantaze Cabernet crni 0,75L"
293,Vino crveno Plantaze Vrhunski Vranac 0.75L
294,"Vino crveno Plantaze Vranac Pro Corde 0,187L"
295,Vino crveno Plantaze vranac barrique vrhunsko0
296,Vino crveno Plantaze Vladika 0.75l
297,Vino crveno Plantaze Pro Corde Vranac 0.75L
298,"Vino crveno Plantaze Merlot 0,75L"
299,"Vino crveno Antonini Ceresa NERO D'AVOLA 0,75l"
300,Vino crveno Bicicleta Cabernet Sauvignon 0.75
301,"Vino crveno Vranac vladika u kutiji 0,75L"
302,"Vino crveno Vranac pro corde u kutiji 0,75L"
303,"Vino crveno Plantaze Epoha 0,75L"
304,Vino crveno Plantaze Vranac 1L
305,Vino crveno Dalatinac Split 1l
306,Pjenusavo vino Henkell Dry Sec.0.75l
307,"Mionetto Prestige Pjenusavo Vino 0,75l"
308,Pjenusavno vino Heineman la roshe brut 0.75L
309,Pjenusavo vino Henkell Blanc de Blanc 0.75l
310,"Pjenusavo vino Prosecco d.o.c.Extra Dry 0,75l"
311,Vino roze Tikves 1L
312,Vino roze Plantaze Moje Vino Roze 1l
313,"Vino roze Plantaze 0,187L"
314,"Vino roze Plantaze 0,75L"
315,"Vino rose Regina 0,75l"
316,"Rose Vino harmonia Lipovac 0,75L"
317,Vino roze Erdevik Tri roze koze 0.75l
318,Vino bijelo Plantaze crnogorska malvazija 0.75
319,"Bijelo Vino GEA Lipovac 0,75l"
320,Vino Bijelo Maximo Oro 0.75L
321,Vino Bijelo De Gotho Graševina 0.75L
322,Vino bijelo Freixenet Pinot Grigio 0.75l
323,"Vino bijelo Rkaticeli 0,75l"
324,Vino bijelo Plantaze Crnogorska malvazija 0.18
325,"Vino bijelo Kovacevic Sauvignon 0,75L"
326,"Vino bijelo Kutjevo Grasevina Vrhunska 0,75L"
327,Vino bijelo Plantaze Podgoricko bijelo 1L
328,Vino bijelo Plantaze Moje vino 1l
329,Vino bijelo Rubin Spricer 0.5L
330,"Vino bijelo Plantaze Sauvignon 0,75L"
331,Vino bijelo Plantaze chard sauvig pro anima 0.
332,Vino bijelo Plantaze Luca 0.75L
333,Vino bijelo Plantaze chardonnay barrique vrhu0
334,"Vino bijelo Plantaze Krstac vrhunski 0,187l"
335,"Vino bijelo Planataze Chardonnay vrhunski 0,187"
336,"Vino bijelo Plantaze Pro anima pinot blanc 0,75L"
337,"Vino bijelo Plantaze chardonnay 0,75L"
338,Vino bijelo Plantaze Krstac 0.75L
339,Vino bijelo Tikves Class.alexandria rizling
340,Vino bijelo Plantaze Krstac 1L
341,"Vino bijelo GCF Baron d`Arignac 0,75L"
342,Vino bijelo Tikves Smederevka 1L
343,Vino bijelo Tikves Temjanika 0.75l
344,Vino bijelo Kovacevic Chardonnay 0.75L
345,Vino bijelo Dalmacijavino Sjor 1L
346,Bijelo Suvo Vino Tikves 1L Graševina
347,"Vino crveno MERLOT BARRIQ 0,75L Dalmacijavino Split"
348,Vino bijelo pinot grigio   igt 0.75l corte antica
349,Cider Somersby jabuka 0.33l npb
350,Cider Somersby jabuka 0.5l limenka
351,Koktel LE COQCosmopolitan 0.33l  alc.4.7%
352,Cider Somersby borovnica 0.5l limenka
353,Cider Somersby borovnica 0.33l npb
354,Cider Somersby kruska 0.33l npb
355,"Koktel LE COQ Blue lagoon 0,33l alc.4.7%"
356,Koktel LE COQ Sex on the  beach 0.33l alc.4.7%
357,Koktel LE COQ Pinacolada 0.33l alc.4.7%
358,"VŽ 4 Voćno Vino Kupine 0,75L"
359,Simex rakija Original  Dunja 43% 0.7 L
360,Rakija Zlatna kajsija cokanj 0.04 l
361,Rakija crnogors.prvjenac u kutiji 1L
362,"Rakija Šamar šljiva/dunja 0,7l"
363,Rakija Plantaze vocna breskva 0.7L
364,"Rakija SL Takovo viljamovka 0,7L"
365,"Rakija Plantaze lozova kruna 0,75L"
366,Rakija Plantaze lozova prvijenac 1L
367,Rakija Zlatna dunja cokanj 0.04 l
368,"Simex rakija Original Kajsija 43% 0,7 L"
369,"Rakija Zlatna kajsija 40% 0,7L"
370,"Rakija Zlatna dunja 40% 0,7L"
371,Viski JW Red kutija 1L
372,Viski Chivas Regal 12 1LY.O.
373,Viski Ballantine s 0.7L
374,Viski Jonnie Walker Black Label kutija 0.7L
375,Viski Jameson 0.7L
376,Viski Jameson 1L
377,Viski Jack Daniels 0.7L
378,Viski Jack Daniels americki 1L
379,Viski Chivas 0.7L
380,Brendi Badel Prima 0.1L
381,Viski Grant's u kutiji 0.7L
382,Viski Ballantine s Finest skotski 1L
383,Vinjak Rubin 1L
384,Vinjak Rubin 0.1L
385,Vinjak Rubin Vs 38% 0.5L
386,"Liker Amec amaro montenegro 0,75L"
387,"Berent.Pina Colada Cream 16%Alc 0,7L"
388,Liker Zlatni Pelin 1L
389,"Liker Zlatni Pelin 0,1L"
390,Liker Zlatna meduska 0.7l
391,"Liker Gorki list pelinkovac 0,1L"
392,Liker Diageo baileys 0.7L
393,Liker Gorki list 1L
394,Liker Jagermaister 1L
395,Liker Maraska pelinkovac 1L
396,"Liker Gorki list 0,7L"
397,Vodka Maraska cosmopoliten 1l
398,Vodka Diageo smirnoff red 0.5l
399,Vodka Gorbatschow 0.7l
400,Vodka Diageo smirnoff red 1l
401,"Vodka Diageo smirnoff r/l 0,7l"
402,"Vodka Nicolaus Klasik 37,50% 0,10 L."
403,"Vodka Nicolaus Extra Fine 38% - 0,70 L."
404,"Vodka Maraska 37,5% cosmopolitan maraska 0,5l"
405,Rum Maraska domaci 0.5L
406,Rum Maraska domaci 35% 1l
407,Rum Maraska domaci 0.1L
408,"Dzin Dulw Beefeater 0,7L"
409,"Dzin Finsbury 0,7L"
410,"Dzin Diageo gordons Dry 0,7L"
411,Tekila Sierra Silver 0.7l
412,"Tekila Dulw two fingers 0,7L"
413,Suva Svinjska Pecenica    Matijevic Slajs 100G
414,Panceta Matijevic       Slajs 150G
415,Pršuta Slajs Martex 100G
416,Suvi Vrat Martex 100G
417,Suva Pančeta Martex 100G
418,Zimska salama Pik Vrbovec 100g
419,Prsut Majstor mesar lovcenski slajs 100g
420,Cajna Kobasica Matijevic Slajs 100G
421,Cajna Kobasica Goranovic Slajs 100G
422,Cajna kobasica Pik Vrbovec slajs 100g
423,Kulen Matijevic Slajs 100G
424,Kulen Topola Vp Slajs 100G
425,Izletnicka Salama Topola Slajs Vp 100G
426,Piknik Salama Topola Slajs 100G
427,Budimska Kobasica Matijevic Slajs 100G
428,Budimska salama Goranovic slajs 100g
429,Zlatiborac Slajs  Čajna Kobasica 100Gr
430,Zlatiborac Slajs Sudžuk 100gr
431,Zlatiborac Slajs Goveđa pršuta 100gr
432,Zlatiborac Slajs Tanka Slanina 100Gr
433,Zlatiborac Slajs Goveđa Ljuta kobasica 100gr
434,Zlatiborac Slajs Goveđa Salama 100gr
435,Zlatiborac Slajs  Domaća Salama 100Gr
436,Cajna slajs Montella 100g
437,Kulen slajs Montella 100g
438,Prsut Montstate rezani 100G
439,Sunka Neoplanta stijesnjena 350g
440,Grudi Curece Delikates Neoplanta 330G
441,Sunka Carnex stijesnjena u omotu 350g
442,Sunka Goranovic mini 350g stiješnjena u omotu
443,Posebna kobasica Carnex mini 350g
444,Posebna Kobasica Gudi 300G
445,Extra posebna Perutnina Ptuj 350g
446,Extra posebna Perutnina Ptuj 800g
447,Virsla Aia Wudy pileca classico mini 100g
448,Polutrajna kobasica pileca 350g
449,Grudi neoplanta pilece 350g
450,Prsa Goranovic pileca u omotu mini 350g
451,Prsa Goranovic cureca u omotu mini 350gr
452,Virsla Carnex Pileca 205G
453,Virsla Carnex delikates 205g
454,Srpska kobasica Goranovic vp 300g
455,Gorska kobasica Goranovic vakum 300g
456,Srpska kobasica Carnex 310g
457,Zlatiborac Kobasica Grill 250gr
458,Zlatiborac Mini Pileća posebna kobasica 320gr
459,Zlatiborac Mini Delikates posebna kobasica 320gr
460,Zlatiborac Kobasica Domaćinska 290gr
461,Zlatiborac PT Stišnjena Šunka u omotu
462,Zlatiborac PT Alpska kobasica
463,Zlatiborac barena pileća kobasica 100gr
464,Zlatiborac TR Duvan  čvarci 150gr
465,Rostiljska kobasica  Montella 265g
466,Rostiljska kobasica Carnex sa sirom 280g
467,Prsa Aia Gran Podere cureca
468,Sunka Pik Vrbovec u ovitku
469,Njeguska kobasica Montstate
470,Budimska Montella 1kg
471,Cajna Montella 1kg
472,Suva Pecenica Montstate
473,Zlatiborac Rinfuz  Čajna kobasica
474,Zlatiborac Rinfuz  Goveđa Čajna kobasica
475,Prsut Montella u kocki vp
476,Dimljena svinjska pecenica Montstate
477,Prsut Montstate govedji
478,Dimljeni svinjski vrat Montstate
479,Suvi vrat Montstate
480,Kulen Montella 1kg
481,Hljeb 7 zrna rezani   tvojih 5 minuta 450g
482,Tost hljeb tvojih 5minuta classic 500g
483,Tost hljeb sa sjemenkama 500gr
484,Hljeb tost integrale sa  maslinovim uljem 500g
485,Hljeb mijesani razani rezani 400g Nase zrno
486,Tost Conad 18pcs 330g
487,Barilla hljeb Gran  Bauletto Rustico 500gr
488,Barilla hljeb Pan Bauletto Bianco 400gr
489,Barilla hljeb Pan Bauletto Integrale 400gr
490,Barilla tost Pan  Carre Integrale 315gr
491,Stanglice Tonus beskvasne 120g
492,Plocice Tonus integralne sa lanom 120g
493,Barilla dvopek Dorate 315gr
494,Barilla dvopek Integrale 315gr
495,Dvopek Conad 39 kriski 324g
496,Baget Aroma 110g S.120
497,Hljeb osnovni bijeli Inpek 500g
498,Baget tamni Aroma 240g S.270
499,Cabata maxi Aroma 300g S.335
500,Hljeb bijeli Aroma 420g S.420
501,Hljeb sa vise zrna Aroma 420g S.420
502,Krosan Gourmand maslac marelica 80g  S.90
503,Kroasan Gourmand maslac sa sjemenkama 70g  S.80
504,Kroasan Gourmand maslac praline 75g  S.90
505,Kroasan maslac zakrivljen gourmand 70g S.70
506,Pecivo duo sir mini pani  60g s65
507,Rol virsla Inpek 110g S 120G
508,Pita sa spanacem 170g S.200 Alfa posno
509,Pita Don Don sa krompirom 90g   S.100
510,Pita Don Don kukuruzna sa sirom 90g  S.110
511,Pita Jami krompirusa delikates 130g s150
512,Pita Jami zeljanica 130g   S.150
513,Pita Jami sirnica 130g   S.150
514,Pita Jami zeljanica  sa heljdom 130g  S.150
515,Pita Jami sirnica  sa heljdom 130g  S.150
516,Burek Jami sa krompirom 200g  S.250
517,Burek Jami sa zeljem 200g   S.250
518,Burek Jami sa sirom  200g   S.250
519,Krofna sa jagoda prelivom Aroma 56g S.56
520,Kolac Miranis jadro stangle pakovani 500g
521,Kolac Miranis crnogorska pita pakovani 600g
522,Kolac Miranis zerbo kocke pakovani 450g
523,Kolac Miranis domaci miks pakovani 500g
524,Rolat cokoladni 500g Miranis
525,Podloge Uniprom za picu 2x100g
526,Kore Uniprom za pitu debele 500G
527,Kore Uniprom za pitu tanke 500G
528,Kore Inpek za pitu 500g
529,Kore Trivit od heljdinog brasna 500g
530,"Kore Trivit za pite,baklave I gibanice 5"
531,Njoke Il Pastaio od krompira 500g
532,Tortelini Aurelia 4 vrste sira 250g Aurelia
533,Tortilja Roberto granpiada Extravergine 33
534,Tortilja Aly Flour 25cm 6kom 390g
535,Tortilja Aly Flour 25cm 10kom 650gr
536,Tortilja Aly Flour 30cm  10 kom 900g
537,Luk crveni 1 kg
538,Karfiol 1 kg
539,Paprika babura 1 kg
540,Tikvica 1 kg
541,Sargarepa 1 kg
542,Paradajz 1 kg
543,Paprika silja crvena 1 kg
544,Bundeva pecena sjemenka  kg
545,Urma J&J Company 500g
546,Kikiriki vakum SARS 400g
547,Brusnica 200g Sars kadica
548,Mix healt Sars 250g
549,"Mix fit Sars 250g badem,brusnica i grozdje"
550,Suva smokva krug 160gSars
551,Ljesnik rinfuz
552,Kukuruz kokicar rinfuz
553,Badem rinfiuz
554,"Orah mix,J J Company"
555,Badem 250 gr kadica Sars
556,Jaja Farma Kovacevic S klasa 10/1
557,Mlijeko Moja Kravica 1.5%mm 1l
558,"Mlijeko Moja Kravica  2,8%m sa cepom50"
559,"Mlijeko Moja Kravica 2,8% 1l t baza"
560,"Mlijeko Moja Kravica za kafu 3,8%mm 1l"
561,Mlijeko Lazine uht 2.8%mm 1l
562,Mlijeko Montella UHT 2.8%mm 1l
563,Mlijeko Moja Kravica 3.2%mm d3 sa cepom t 1l
564,"Mlijeko Moja Kravica  2,8% 1l"
565,Mlijeko Moja kravica junior 2.8% 1l
566,Mlijeko Moja Kravica 2.8%mm 1.5l
567,Mlijeko Nika pasterizovano 2.8%mm 1l k
568,Mlijeko svjeze Srna pasterizovano 1L
569,"Mlijeko cokoladno moja kravica 1% 0,5L PET"
570,Mlijeko cokoladno Moja Kravica 1%mm pet 1l
571,"Proteinski napitak jagoda Zbregov 0,5L PET"
572,"Proteinski napitak vanila Zbregov 0,5L PET"
573,"Proteinski napitak Zbergo cokolada banana 0,5L PET"
574,Mlijeko cokoladno Moja Kravica 1% 1.50L TB
575,"Cokoladno Mlijeko Moja Kravica 1%Mm 0,3L"
576,Protein Sejk Cokolada '330Ml Pet
577,Protein Sejk Jagoda '330Ml Pet
578,Protein Sejk Vanila '330Ml Pet
579,Milksejk Vanila 235ml
580,Proteinski napitak  pistaci  0.5L Zbregov
581,Mlijeko Cokoladno Dukat  Pet 1L
582,Jogurt Fit proteinski napitak cokol. 500g
583,Drmilk Unikatos Punomasni Meki Sir U Sal. 165G/150G
584,Drmilk Unikatos Punomasni Meki Sir U Sal. 260G/240G
585,Drmilk Unikatos Punomasni Meki Sir U Sal. 500G/450G
586,Sir Mozzarella Zottarella Meki Classic 2
587,Sir feta Somborska Mljekara pp 250g
588,Sir Feta Mljekara Sabac  '45%Mm 450G
589,Sir Mozzarella Zottarella Meki Classic 1
590,Sir Katunjanka Punomasni'1/4
591,Sir Katunjanka dimljeni 1/4
592,Sir parmezan Parmonia Zanneti ribani 40g
593,Sir edamer Bayernland 1kg
594,Sir gauda Paladin 48%mm
